A400:      { 08C 0 ---  0B5 0 x--  093 0 ---  0A5 0 xy- }
A401:      { 094 0 ---  0A4 0 xy-  09C 0 ---  09C 0 --- }
A402:      { 09C 0 ---  09C 0 ---  09C 0 ---  09C 0 --- }
A403:      { 0A4 0 ---  09C 0 ---  0A5 0 ---  093 0 xy- }
A404:      { 0A6 0 ---  0C1 0 ---  0A7 0 ---  0C2 0 --- }
A405:      { 0A8 0 ---  0C3 0 ---  0A9 0 ---  0C4 0 --- }
A406:      { 0AC 0 ---  0C5 0 ---  0AD 0 ---  0C6 0 --- }
A407:      { 0AE 0 ---  0C7 0 ---  0AF 0 ---  0C8 0 --- }
A408:      { 0B0 0 ---  0F8 0 ---  0B1 0 ---  0F8 0 --- }
A409:      { 0B2 0 ---  0C9 0 ---  0B3 0 ---  0CA 0 --- }
A40A:      { 0B4 0 ---  0CB 0 ---  0B5 0 ---  0CC 0 --- }
A40B:      { 0B6 0 ---  0CD 0 ---  0B7 0 ---  0CE 0 --- }
A40C:      { 0B8 0 ---  0CF 0 ---  0B0 0 ---  0F8 0 --- }
A40D:      { 0F8 0 ---  0F8 0 ---  0B9 0 ---  0D0 0 --- }
A40E:      { 0BC 0 ---  0D1 0 ---  0BD 0 ---  0D2 0 --- }
A40F:      { 0BF 0 ---  0D3 0 ---  0C0 0 ---  0D4 0 --- }
A410:      { 0CC 0 x--  09C 0 ---  0D5 0 ---  09C 0 --- }
A411:      { 094 0 ---  09C 0 ---  09C 0 ---  09C 0 --- }
A412:      { 0D6 0 ---  09C 0 ---  09C 0 ---  09C 0 --- }
A413:      { 0D8 0 ---  09C 0 ---  0D9 0 ---  0F2 0 --- }
A414:      { 0E0 0 ---  0F3 0 ---  0E1 0 ---  0F4 0 --- }
A415:      { 0E2 0 ---  0F5 0 ---  0F8 0 ---  0F8 0 --- }
A416:      { 0E3 0 ---  0F8 0 ---  0E4 0 ---  0F8 0 --- }
A417:      { 0E5 0 ---  0F8 0 ---  0E6 0 ---  0F8 0 --- }
A418:      { 0E7 0 ---  0F8 0 ---  0E8 0 ---  0F8 0 --- }
A419:      { 0F8 0 ---  0F8 0 ---  0E9 0 ---  0FE 0 --- }
A41A:      { 0F1 0 ---  0FF 0 ---  09C 0 ---  09C 0 --- }
A41B:      { 094 0 xy-  09C 0 ---  094 0 x--  094 0 x-- }
A41C:      { 09C 0 ---  112 0 ---  100 0 ---  113 0 --- }
A41D:      { 101 0 ---  114 0 ---  102 0 ---  115 0 --- }
A41E:      { 100 0 x--  116 0 ---  09C 0 ---  09C 0 --- }
A41F:      { 09C 0 ---  117 0 ---  094 0 -y-  09C 0 --- }
A420:      { 09C 0 ---  118 0 ---  103 0 ---  119 0 --- }
A421:      { 104 0 ---  0F8 0 ---  105 0 ---  0F8 0 --- }
A422:      { 106 0 ---  0F8 0 ---  0F8 0 ---  11A 0 --- }
