A700:      { 100 5 ---  114 5 ---  101 5 ---  115 5 --- }
A701:      { 102 5 ---  116 5 ---  103 5 ---  117 5 --- }
A702:      { 104 5 ---  118 5 ---  105 5 ---  119 5 --- }
A703:      { 106 5 ---  11A 5 ---  107 5 ---  11B 5 --- }
A704:      { 108 5 ---  11C 5 ---  109 5 ---  11D 5 --- }
A705:      { 10A 5 ---  11E 5 ---  10B 5 ---  11F 5 --- }
A706:      { 10C 5 ---  120 5 ---  10D 5 ---  121 5 --- }
A707:      { 10E 5 ---  122 5 ---  10F 5 ---  123 5 --- }
A708:      { 110 5 ---  124 5 ---  111 5 ---  125 5 --- }
A709:      { 112 5 ---  126 5 ---  113 5 ---  127 5 --- }
A70A:      { 113 5 x--  127 5 x--  112 5 x--  126 5 x-- }
A70B:      { 111 5 x--  125 5 x--  110 5 x--  124 5 x-- }
A70C:      { 10F 5 x--  123 5 x--  10E 5 x--  122 5 x-- }
A70D:      { 10D 5 x--  121 5 x--  10C 5 x--  120 5 x-- }
A70E:      { 10B 5 x--  11F 5 x--  10A 5 x--  11E 5 x-- }
A70F:      { 109 5 x--  11D 5 x--  108 5 x--  11C 5 x-- }
A710:      { 107 5 x--  11B 5 x--  106 5 x--  11A 5 x-- }
A711:      { 105 5 x--  119 5 x--  104 5 x--  118 5 x-- }
A712:      { 103 5 x--  117 5 x--  102 5 x--  116 5 x-- }
A713:      { 101 5 x--  115 5 x--  100 5 x--  114 5 x-- }
A714:      { 128 5 ---  13C 5 ---  129 5 ---  13D 5 --- }
A715:      { 12A 5 ---  13E 5 ---  12B 5 ---  13F 5 --- }
A716:      { 12C 5 ---  140 5 ---  12D 5 ---  141 5 --- }
A717:      { 12E 5 ---  142 5 ---  12F 5 ---  143 5 --- }
A718:      { 130 5 ---  144 5 ---  131 5 ---  145 5 --- }
A719:      { 132 5 ---  146 5 ---  133 5 ---  147 5 --- }
A71A:      { 134 5 ---  148 5 ---  135 5 ---  149 5 --- }
A71B:      { 136 5 ---  14A 5 ---  137 5 ---  14A 5 --- }
A71C:      { 138 5 ---  14B 5 ---  139 5 ---  14C 5 --- }
A71D:      { 13A 5 ---  14D 5 ---  13B 5 ---  14E 5 --- }
A71E:      { 13B 5 x--  14E 5 x--  13A 5 x--  14D 5 x-- }
A71F:      { 139 5 x--  14C 5 x--  138 5 x--  14B 5 x-- }
A720:      { 137 5 x--  14A 5 ---  136 5 x--  14A 5 --- }
A721:      { 135 5 x--  149 5 x--  134 5 x--  148 5 x-- }
A722:      { 133 5 x--  147 5 x--  132 5 x--  146 5 x-- }
A723:      { 131 5 x--  145 5 ---  130 5 x--  144 5 x-- }
A724:      { 12F 5 x--  143 5 x--  12E 5 x--  142 5 x-- }
A725:      { 12D 5 x--  141 5 x--  12C 5 x--  140 5 x-- }
A726:      { 12B 5 x--  13F 5 x--  12A 5 x--  13E 5 x-- }
A727:      { 129 5 x--  13D 5 x--  128 5 x--  13C 5 x-- }
A728:      { 14F 5 ---  207 5 ---  150 5 ---  208 5 --- }
A729:      { 151 5 ---  209 5 ---  200 5 ---  20A 5 --- }
A72A:      { 201 5 ---  20B 5 ---  202 5 ---  20C 5 --- }
A72B:      { 203 5 ---  20D 5 ---  202 5 ---  20E 5 --- }
A72C:      { 204 5 ---  20F 5 ---  202 5 ---  20B 5 --- }
A72D:      { 202 5 ---  20B 5 ---  202 5 ---  20B 5 --- }
A72E:      { 205 5 ---  210 5 ---  206 5 ---  211 5 --- }
A72F:      { 206 5 x--  211 5 x--  205 5 x--  210 5 x-- }
A730:      { 202 5 ---  20B 5 ---  204 5 x--  20F 5 x-- }
A731:      { 202 5 ---  20E 5 x--  203 5 x--  20D 5 x-- }
A732:      { 202 5 ---  20C 5 x--  201 5 x--  20B 5 --- }
A733:      { 200 5 x--  20A 5 x--  151 5 x--  209 5 x-- }
A734:      { 150 5 x--  208 5 x--  14F 5 x--  207 5 x-- }
A735:      { 212 5 ---  212 5 ---  212 5 ---  212 5 --- }
A736:      { 213 5 ---  218 5 ---  214 5 ---  219 5 --- }
A737:      { 215 5 ---  21A 5 ---  215 5 ---  21A 5 --- }
A738:      { 216 5 ---  21B 5 ---  217 5 ---  21C 5 --- }
A739:      { 217 5 x--  21C 5 x--  216 5 x--  21B 5 x-- }
A73A:      { 214 5 x--  219 5 x--  213 5 x--  218 5 x-- }
A73B:      { 212 5 ---  212 5 ---  21D 5 ---  223 5 --- }
A73C:      { 21E 5 ---  224 5 ---  21F 5 ---  225 5 --- }
A73D:      { 220 5 ---  226 5 ---  220 5 ---  226 5 --- }
A73E:      { 221 5 ---  227 5 ---  222 5 ---  228 5 --- }
A73F:      { 222 5 x--  228 5 x--  221 5 x--  227 5 x-- }
A740:      { 21F 5 x--  225 5 x--  21E 5 x--  224 5 x-- }
A741:      { 21D 5 x--  223 5 x--  212 5 ---  212 5 --- }
A742:      { 212 5 ---  212 5 ---  229 5 ---  212 5 --- }
A743:      { 22A 5 ---  23B 5 ---  22B 5 ---  23C 5 --- }
A744:      { 22C 5 ---  23D 5 ---  22D 5 ---  23E 5 --- }
A745:      { 22E 5 ---  23F 5 ---  22F 5 ---  240 5 --- }
A746:      { 230 5 ---  241 5 ---  231 5 ---  242 5 --- }
A747:      { 232 5 ---  243 5 ---  233 5 ---  244 5 --- }
A748:      { 234 5 ---  245 5 ---  235 5 ---  246 5 --- }
A749:      { 236 5 ---  247 5 ---  237 5 ---  248 5 --- }
A74A:      { 238 5 ---  249 5 ---  202 5 ---  24A 5 --- }
A74B:      { 239 5 ---  24B 5 ---  23A 5 ---  24C 5 --- }
A74C:      { 23A 5 x--  24C 5 x--  239 5 x--  24B 5 x-- }
A74D:      { 202 5 ---  24A 5 x--  238 5 x--  249 5 x-- }
A74E:      { 237 5 x--  248 5 x--  236 5 x--  247 5 x-- }
A74F:      { 235 5 x--  246 5 x--  234 5 x--  245 5 x-- }
A750:      { 233 5 x--  244 5 x--  232 5 x--  243 5 x-- }
A751:      { 231 5 x--  242 5 x--  230 5 x--  241 5 x-- }
A752:      { 22F 5 x--  240 5 x--  22E 5 x--  23F 5 x-- }
A753:      { 22D 5 x--  23E 5 x--  22C 5 x--  23D 5 x-- }
A754:      { 22B 5 x--  23C 5 x--  22A 5 x--  23B 5 x-- }
A755:      { 229 5 x--  212 5 ---  212 5 ---  212 5 --- }
A756:      { 212 5 ---  260 5 ---  24D 5 ---  261 5 --- }
A757:      { 24E 5 ---  262 5 ---  24F 5 ---  263 5 --- }
A758:      { 250 5 ---  264 5 ---  251 5 ---  265 5 --- }
A759:      { 252 5 ---  266 5 ---  253 5 ---  267 5 --- }
A75A:      { 254 5 ---  212 5 ---  255 5 ---  212 5 --- }
A75B:      { 256 5 ---  268 5 ---  257 5 ---  269 5 --- }
A75C:      { 258 5 ---  26A 5 ---  259 5 ---  26B 5 --- }
