B700:      { 100 3 ---  110 3 ---  101 3 ---  111 3 --- }
B701:      { 102 3 ---  112 3 ---  103 3 ---  113 3 --- }
B702:      { 104 3 ---  114 3 ---  105 3 ---  115 3 --- }
B703:      { 106 3 ---  116 3 ---  107 3 ---  117 3 --- }
B704:      { 168 0 ---  178 0 ---  169 0 ---  179 0 --- }
B705:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B706:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B707:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B708:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B709:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B70A:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B70B:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B70C:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B70D:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B70E:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B70F:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B710:      { 120 3 ---  130 3 ---  121 3 ---  131 3 --- }
B711:      { 122 3 ---  132 3 ---  123 3 ---  133 3 --- }
B712:      { 124 3 ---  134 3 ---  125 3 ---  135 3 --- }
B713:      { 126 3 ---  136 3 ---  127 3 ---  137 3 --- }
B714:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B715:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B716:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B717:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B718:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B719:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B71A:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B71B:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B71C:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B71D:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B71E:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B71F:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B720:      { 140 3 ---  150 3 ---  141 3 ---  151 3 --- }
B721:      { 142 3 ---  152 3 ---  143 3 ---  153 3 --- }
B722:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B723:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B724:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B725:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B726:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B727:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B728:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B729:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B72A:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B72B:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B72C:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B72D:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B72E:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B72F:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B730:      { 108 3 ---  118 3 ---  109 3 ---  119 3 --- }
B731:      { 10A 3 ---  11A 3 ---  10B 3 ---  11B 3 --- }
B732:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B733:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B734:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B735:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B736:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B737:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B738:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B739:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B73A:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B73B:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B73C:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B73D:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B73E:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B73F:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B740:      { 128 3 ---  138 3 ---  129 3 ---  139 3 --- }
B741:      { 12A 3 ---  13A 3 ---  12B 3 ---  13B 3 --- }
B742:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B743:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B744:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B745:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B746:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B747:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B748:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B749:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B74A:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B74B:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B74C:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
