D000:      { 0C0 3 ---  0D0 3 ---  0C1 3 ---  0D1 3 --- }
D001:      { 0C2 3 ---  0D2 3 ---  0C3 3 ---  0D3 3 --- }
D002:      { 0C4 3 ---  0D4 3 ---  0C5 3 ---  0D5 3 --- }
D003:      { 0C6 3 ---  0D6 3 ---  0C7 3 ---  0D7 3 --- }
D004:      { 0E0 3 ---  0F0 3 ---  0E1 3 ---  0F1 3 --- }
D005:      { 0E2 3 ---  13F 1 ---  13F 1 ---  13F 1 --- }
D006:      { 0E3 3 ---  13F 1 ---  13F 1 ---  13F 1 --- }
D007:      { 0F2 3 ---  13F 1 ---  13F 1 ---  13F 1 --- }
D008:      { 140 0 ---  145 0 ---  141 0 ---  146 0 --- }
D009:      { 142 0 ---  147 0 ---  0FD 0 ---  148 0 --- }
D00A:      { 143 0 ---  149 0 ---  140 0 ---  145 0 --- }
D00B:      { 141 0 ---  146 0 ---  144 0 ---  147 0 --- }
D00C:      { 0FD 0 ---  14A 0 ---  0FD 0 ---  0FD 0 --- }
D00D:      { 0FD 0 ---  0FD 0 ---  0FD 0 ---  0FD 0 --- }
D00E:      { 0FD 0 ---  0FD 0 ---  0FD 0 ---  0FD 0 --- }
D00F:      { 0FD 0 ---  14B 0 ---  143 0 ---  149 0 --- }
D010:      { 13F 1 x--  13F 1 x--  0F2 3 x--  13F 1 x-- }
D011:      { 13F 1 x--  13F 1 x--  0E3 3 x--  13F 1 x-- }
D012:      { 13F 1 x--  13F 1 x--  0E2 3 x--  13F 1 x-- }
D013:      { 0E1 3 x--  0F1 3 x--  0E0 3 x--  0F0 3 x-- }
D014:      { 0C7 3 x--  0D7 3 x--  0C6 3 x--  0D6 3 x-- }
D015:      { 0C5 3 x--  0D5 3 x--  0C4 3 x--  0D4 3 x-- }
D016:      { 0C3 3 x--  0D3 3 x--  0C2 3 x--  0D2 3 x-- }
D017:      { 0C1 3 x--  0D1 3 x--  0C0 3 x--  0D0 3 x-- }
D018:      { 14C 0 ---  157 0 ---  0F9 0 ---  0F9 0 --- }
D019:      { 0F9 0 ---  0F9 0 ---  14D 0 ---  0F9 0 --- }
D01A:      { 14E 0 ---  0F9 0 ---  0F9 0 ---  0F9 0 --- }
D01B:      { 0F9 0 ---  0F9 0 ---  0F9 0 ---  0F9 0 --- }
D01C:      { 14F 0 ---  0F9 0 ---  150 0 ---  158 0 --- }
D01D:      { 151 0 ---  159 0 ---  152 0 ---  15A 0 --- }
D01E:      { 153 0 ---  15B 0 ---  154 0 ---  15C 0 --- }
D01F:      { 155 0 ---  15D 0 ---  156 0 ---  15E 0 --- }
D020:      { 13F 1 xy-  13F 1 xy-  13F 1 xy-  0F2 3 xy- }
D021:      { 13F 1 xy-  13F 1 xy-  13F 1 xy-  0E3 3 xy- }
D022:      { 13F 1 xy-  13F 1 xy-  13F 1 xy-  0E2 3 xy- }
D023:      { 0F1 3 xy-  0E1 3 xy-  0F0 3 xy-  0E0 3 xy- }
D024:      { 0D7 3 xy-  0C7 3 xy-  0D6 3 xy-  0C6 3 xy- }
D025:      { 0D5 3 xy-  0C5 3 xy-  0D4 3 xy-  0C4 3 xy- }
D026:      { 0D3 3 xy-  0C3 3 xy-  0D2 3 xy-  0C2 3 xy- }
