D100:      { 100 0 ---  110 0 ---  101 0 ---  111 0 --- }
D101:      { 102 0 ---  112 0 ---  103 0 ---  113 0 --- }
D102:      { 104 0 ---  114 0 ---  105 0 ---  115 0 --- }
D103:      { 106 0 ---  116 0 ---  107 0 ---  117 0 --- }
D104:      { 108 0 ---  118 0 ---  109 0 ---  119 0 --- }
D105:      { 10A 0 ---  11A 0 ---  10B 0 ---  11B 0 --- }
D106:      { 10C 0 ---  11C 0 ---  10D 0 ---  11D 0 --- }
D107:      { 10E 0 ---  11E 0 ---  10F 0 ---  11F 0 --- }
D108:      { 10F 0 x--  11F 0 x--  10E 0 x--  11E 0 x-- }
D109:      { 10D 0 x--  11D 0 x--  10C 0 x--  11C 0 x-- }
D10A:      { 10B 0 x--  11B 0 x--  10A 0 x--  11A 0 x-- }
D10B:      { 109 0 x--  119 0 x--  108 0 x--  118 0 x-- }
D10C:      { 107 0 x--  117 0 x--  106 0 x--  116 0 x-- }
D10D:      { 105 0 x--  115 0 x--  104 0 x--  114 0 x-- }
D10E:      { 103 0 x--  113 0 x--  102 0 x--  112 0 x-- }
D10F:      { 101 0 x--  111 0 x--  100 0 x--  110 0 x-- }
D110:      { 120 0 ---  130 0 ---  121 0 ---  131 0 --- }
D111:      { 122 0 ---  132 0 ---  123 0 ---  133 0 --- }
D112:      { 124 0 ---  134 0 ---  125 0 ---  135 0 --- }
D113:      { 126 0 ---  136 0 ---  127 0 ---  137 0 --- }
D114:      { 128 0 ---  138 0 ---  129 0 ---  139 0 --- }
D115:      { 12A 0 ---  13A 0 ---  12B 0 ---  13B 0 --- }
D116:      { 12C 0 ---  13C 0 ---  12D 0 ---  13D 0 --- }
D117:      { 12E 0 ---  13E 0 ---  12F 0 ---  13F 0 --- }
D118:      { 12F 0 x--  13F 0 x--  12E 0 x--  13E 0 x-- }
D119:      { 12D 0 x--  13D 0 x--  12C 0 x--  13C 0 x-- }
D11A:      { 12B 0 x--  13B 0 x--  12A 0 x--  13A 0 x-- }
D11B:      { 129 0 x--  139 0 x--  128 0 x--  138 0 x-- }
D11C:      { 127 0 x--  137 0 x--  126 0 x--  136 0 x-- }
D11D:      { 125 0 x--  135 0 x--  124 0 x--  134 0 x-- }
D11E:      { 123 0 x--  133 0 x--  122 0 x--  132 0 x-- }
