D300:      { 217 7 ---  22D 7 ---  218 7 ---  22E 7 --- }
D301:      { 219 7 ---  201 7 xy-  21A 7 ---  200 7 xy- }
D302:      { 21B 7 ---  22F 7 ---  21C 7 ---  230 7 --- }
D303:      { 21D 7 ---  231 7 ---  208 7 xy-  200 7 xy- }
D304:      { 208 7 -y-  200 7 -y-  21E 7 ---  232 7 --- }
D305:      { 21F 7 ---  233 7 ---  220 7 ---  200 7 xy- }
D306:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D307:      { 223 7 ---  201 7 xy-  224 7 ---  200 7 xy- }
D308:      { 225 7 ---  200 7 -y-  200 7 -y-  201 7 -y- }
D309:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D30A:      { 208 7 -y-  200 7 -y-  21E 7 ---  232 7 --- }
D30B:      { 21F 7 ---  233 7 ---  220 7 ---  200 7 xy- }
D30C:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D30D:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D30E:      { 268 7 ---  200 7 -y-  269 7 ---  201 7 -y- }
D30F:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D310:      { 200 7 ---  208 7 ---  23D 7 ---  24F 7 --- }
D311:      { 23E 7 ---  250 7 ---  23F 7 ---  251 7 --- }
D312:      { 22F 7 -y-  252 7 ---  240 7 ---  253 7 --- }
D313:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D314:      { 200 7 ---  266 7 ---  201 7 ---  267 7 --- }
D315:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D316:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D317:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D318:      { 200 7 ---  208 7 ---  241 7 ---  254 7 --- }
D319:      { 242 7 ---  255 7 ---  200 7 x--  208 7 x-- }
D31A:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D31B:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D31C:      { 247 7 ---  25A 7 ---  248 7 ---  25B 7 --- }
D31D:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D31E:      { 200 7 ---  208 7 ---  201 7 ---  20C 7 --- }
D31F:      { 201 7 x--  20D 7 ---  200 7 x--  20E 7 --- }
D320:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D321:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D322:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D323:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D324:      { 268 7 ---  200 7 -y-  269 7 ---  201 7 -y- }
D325:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D326:      { 208 7 -y-  234 7 ---  221 7 ---  235 7 --- }
D327:      { 222 7 ---  236 7 ---  208 7 xy-  237 7 --- }
D328:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D329:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D32A:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D32B:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D32C:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D32D:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D32E:      { 208 7 -y-  200 7 -y-  21E 7 ---  232 7 --- }
D32F:      { 21F 7 ---  233 7 ---  220 7 ---  200 7 xy- }
D330:      { 200 7 ---  208 7 ---  242 7 x--  255 7 x-- }
D331:      { 241 7 x--  254 7 x--  200 7 x--  208 7 x-- }
D332:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D333:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D334:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D335:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D336:      { 243 7 ---  256 7 ---  244 7 ---  257 7 --- }
D337:      { 245 7 ---  258 7 ---  246 7 ---  259 7 --- }
D338:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D339:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D33A:      { 201 7 x--  267 7 x--  200 7 x--  266 7 x-- }
D33B:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D33C:      { 200 7 ---  208 7 ---  201 7 ---  26A 7 --- }
D33D:      { 201 7 x--  26B 7 ---  200 7 x--  208 7 x-- }
D33E:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D33F:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D340:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D341:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D342:      { 208 7 -y-  234 7 ---  221 7 ---  235 7 --- }
D343:      { 222 7 ---  236 7 ---  208 7 xy-  237 7 --- }
D344:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D345:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D346:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D347:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D348:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D349:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D34A:      { 269 7 x--  201 7 xy-  268 7 x--  200 7 xy- }
D34B:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D34C:      { 26C 7 ---  26F 7 ---  26D 7 ---  279 7 --- }
D34D:      { 279 7 ---  279 7 ---  26E 7 ---  270 7 --- }
D34E:      { 208 7 -y-  271 7 ---  200 7 -y-  201 7 -y- }
D34F:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D350:      { 247 7 ---  25A 7 ---  248 7 ---  25B 7 --- }
D351:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D352:      { 243 7 ---  256 7 ---  244 7 ---  257 7 --- }
D353:      { 245 7 ---  258 7 ---  246 7 ---  259 7 --- }
D354:      { 200 7 ---  208 7 ---  201 7 ---  20C 7 --- }
D355:      { 201 7 x--  20D 7 ---  200 7 x--  20E 7 --- }
D356:      { 200 7 ---  208 7 ---  241 7 ---  254 7 --- }
D357:      { 242 7 ---  255 7 ---  200 7 x--  208 7 x-- }
D358:      { 200 7 ---  208 7 ---  201 7 ---  212 7 --- }
