FE00:      { 082 1 ---  097 1 ---  083 1 ---  098 1 --- }
FE01:      { 084 1 ---  099 1 ---  085 1 ---  09A 1 --- }
FE02:      { 086 1 ---  09B 1 ---  087 1 ---  09C 1 --- }
FE03:      { 088 1 ---  09D 1 ---  089 1 ---  09E 1 --- }
FE04:      { 08A 1 ---  0F8 0 ---  08B 1 ---  0F8 0 --- }
FE05:      { 08C 1 ---  09F 1 ---  08D 1 ---  0A0 1 --- }
FE06:      { 08E 1 ---  0A1 1 ---  08F 1 ---  0A2 1 --- }
FE07:      { 0F8 0 ---  0F8 0 ---  092 1 ---  0A3 1 --- }
FE08:      { 093 1 ---  0A4 1 ---  094 1 ---  0A5 1 --- }
FE09:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
FE0A:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
FE0B:      { 095 1 ---  0A6 1 ---  096 1 ---  0A7 1 --- }
FE0C:      { 096 1 ---  0A8 1 ---  096 1 ---  0A7 1 --- }
FE0D:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
FE0E:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
FE0F:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
FE10:      { 0A9 1 ---  0BE 1 ---  0AA 1 ---  0BF 1 --- }
FE11:      { 0AB 1 ---  0C0 1 ---  0AC 1 ---  0C1 1 --- }
FE12:      { 0AD 1 ---  0C2 1 ---  0AE 1 ---  0C3 1 --- }
FE13:      { 0AF 1 ---  0C4 1 ---  0B0 1 ---  0C5 1 --- }
FE14:      { 0B1 1 ---  0C6 1 ---  0B2 1 ---  0A6 1 --- }
FE15:      { 0B3 1 ---  0C7 1 ---  0B4 1 ---  0C8 1 --- }
FE16:      { 0B5 1 ---  0C9 1 ---  0B6 1 ---  0CA 1 --- }
FE17:      { 0F8 0 ---  0CB 1 ---  0B7 1 ---  0CC 1 --- }
FE18:      { 0B8 1 ---  0CD 1 ---  0B9 1 ---  0CE 1 --- }
FE19:      { 095 1 ---  0A6 1 ---  095 1 ---  0BC 1 --- }
FE1A:      { 096 1 ---  0A8 1 ---  0F8 0 ---  0CF 1 --- }
FE1B:      { 0BA 1 ---  0D0 1 ---  0BB 1 ---  0D1 1 --- }
FE1C:      { 0BC 1 ---  0BD 1 ---  0BD 1 ---  0F8 0 --- }
FE1D:      { 0F8 0 ---  096 1 ---  095 1 ---  0BC 1 --- }
FE1E:      { 095 1 ---  0BC 1 ---  0F8 0 ---  095 1 --- }
FE1F:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
FE20:      { 0D2 1 ---  0F8 0 ---  0D3 1 ---  0E8 1 --- }
FE21:      { 0D4 1 ---  0E9 1 ---  0D5 1 ---  0EE 1 --- }
FE22:      { 0D6 1 ---  0E8 1 x--  0D7 1 ---  0EF 1 --- }
FE23:      { 0D8 1 ---  0F0 1 ---  0D9 1 ---  0F1 1 --- }
FE24:      { 0DE 1 ---  0F2 1 ---  0DF 1 ---  0F3 1 --- }
FE25:      { 0E0 1 ---  0F4 1 ---  0E1 1 ---  0A6 1 --- }
FE26:      { 0E2 1 ---  0A6 1 ---  0E3 1 ---  0F5 1 --- }
FE27:      { 0E4 1 ---  0F6 1 ---  0F8 0 ---  0F8 0 --- }
FE28:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
FE29:      { 0A6 1 ---  0BA 1 ---  0A7 1 ---  0BB 1 --- }
FE2A:      { 0BA 1 ---  0F8 0 ---  0E5 1 ---  0F8 0 --- }
FE2B:      { 0E6 1 ---  0D1 1 ---  0D0 1 ---  0F7 1 --- }
FE2C:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0D0 1 --- }
FE2D:      { 0E7 1 ---  0F9 1 ---  0A7 1 ---  0BD 1 --- }
FE2E:      { 0A7 1 ---  0A7 1 ---  0A6 1 ---  0BC 1 --- }
FE2F:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
FE30:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
FE31:      { 0FA 1 ---  105 1 ---  0FB 1 ---  106 1 --- }
FE32:      { 0FC 1 ---  107 1 ---  0FD 1 ---  0F8 0 --- }
FE33:      { 0F8 0 ---  0F8 0 ---  0FE 1 ---  0F8 0 --- }
FE34:      { 0FF 1 ---  108 1 ---  100 1 ---  109 1 --- }
FE35:      { 101 1 ---  10A 1 ---  0A6 1 ---  10B 1 --- }
FE36:      { 0A6 1 ---  10C 1 ---  102 1 ---  10D 1 --- }
FE37:      { 0E8 1 x--  0F8 0 ---  0F8 0 ---  0F8 0 --- }
