0400: 0025 { 0F8 2 ---  1AA 2 ---  0F8 2 ---  1AB 2 --- }
0401: 0025 { 0F8 2 ---  1AC 2 ---  0F8 2 ---  1AD 2 --- }
0402: 0025 { 0F8 2 ---  0F8 2 ---  1B8 2 ---  1BC 2 --- }
0403: 0025 { 1B9 2 ---  1BD 2 ---  1DC 2 ---  1DE 2 --- }
0404: 0025 { 1DD 2 ---  1DF 2 ---  1BA 2 ---  1BE 2 --- }
0405: 0025 { 1BB 2 ---  1BF 2 ---  0F8 2 ---  0F8 2 --- }
0406: 0025 { 0F8 2 ---  1FA 2 ---  0F8 2 ---  1FB 2 --- }
0407: 0025 { 0F8 2 ---  1FC 2 ---  0F8 2 ---  1FD 2 --- }
0408: 0025 { 0F8 2 ---  1FE 2 ---  0F8 2 ---  1FF 2 --- }
0409: 0025 { 0F8 2 ---  200 2 ---  0F8 2 ---  201 2 --- }
040A: 0025 { 184 2 ---  18A 2 ---  185 2 ---  18B 2 --- }
040B: 0025 { 186 2 ---  18C 2 ---  187 2 ---  18C 2 --- }
040C: 0025 { 188 2 ---  18B 2 x--  189 2 ---  18B 2 --- }
040D: 0025 { 186 2 ---  18D 2 ---  187 2 ---  18D 2 x-- }
040E: 0025 { 185 2 x--  18B 2 x--  184 2 x--  18A 2 x-- }
040F: 012F { 0F8 6 ---  24E 6 ---  0F8 6 ---  24E 6 --- }
0410: 0106 { 1AE 2 ---  1B4 2 ---  1AF 2 ---  1B5 2 --- }
0411: 0106 { 1B2 2 ---  1B6 2 ---  1B3 2 ---  1B7 2 --- }
0412: 0025 { 0F8 2 ---  0F8 2 ---  1C2 2 ---  1C6 2 --- }
0413: 0025 { 1C3 2 ---  1C7 2 ---  1E2 2 ---  1E4 2 --- }
0414: 0025 { 1E3 2 ---  1E5 2 ---  1C4 2 ---  1C8 2 --- }
0415: 0025 { 1C5 2 ---  1C9 2 ---  0F8 2 ---  0F8 2 --- }
0416: 0106 { 202 2 ---  20A 2 ---  203 2 ---  20B 2 --- }
0417: 0106 { 204 2 ---  20C 2 ---  205 2 ---  20D 2 --- }
0418: 0106 { 206 2 ---  20E 2 ---  207 2 ---  20F 2 --- }
0419: 0106 { 208 2 ---  210 2 ---  209 2 ---  211 2 --- }
041A: 0025 { 18E 2 ---  199 2 ---  18F 2 ---  19A 2 --- }
041B: 0025 { 194 2 ---  19B 2 ---  195 2 ---  19C 2 --- }
041C: 0025 { 196 2 ---  19D 2 ---  18F 2 ---  19A 2 --- }
041D: 0025 { 197 2 ---  19A 2 x--  198 2 ---  19D 2 x-- }
041E: 0025 { 18F 2 x--  19A 2 x--  18E 2 x--  199 2 x-- }
041F: 012F { 24E 6 ---  24F 6 ---  24E 6 ---  24F 6 --- }
0420: 0025 { 1B8 2 ---  1BC 2 ---  1B9 2 ---  1BD 2 --- }
0421: 0025 { 1BA 2 ---  1BE 2 ---  1BB 2 ---  1BF 2 --- }
0422: 0025 { 0F8 2 ---  0F8 2 ---  1CA 2 ---  1CE 2 --- }
0423: 0025 { 1CB 2 ---  1CF 2 ---  1E6 2 ---  1E8 2 --- }
0424: 0025 { 1E7 2 ---  1E9 2 ---  1CC 2 ---  1D2 2 --- }
0425: 0025 { 1CD 2 ---  1D3 2 ---  0F8 2 ---  0F8 2 --- }
0426: 0025 { 0F8 2 ---  0F8 2 ---  212 2 ---  218 2 --- }
0427: 0025 { 213 2 ---  219 2 ---  214 2 ---  21A 2 --- }
0428: 0025 { 215 2 ---  21B 2 ---  216 2 ---  21C 2 --- }
0429: 0025 { 217 2 ---  21D 2 ---  0F8 2 ---  0F8 2 --- }
042A: 0025 { 0F8 5 ---  0F8 5 ---  1B0 5 ---  1C0 5 --- }
042B: 0025 { 1B1 5 ---  1C1 5 ---  0F8 5 ---  0F8 5 --- }
