3C00: 0130 { 18E 6 ---  19E 6 ---  18F 6 ---  19F 6 --- }
3C01: 0130 { 18B 6 ---  19B 6 ---  18C 6 ---  19C 6 --- }
3C02: 011C { 189 6 ---  199 6 ---  189 6 ---  199 6 --- }
3C03: 0117 { 189 6 ---  199 6 ---  189 6 ---  199 6 --- }
3C04: 0119 { 189 6 ---  199 6 ---  189 6 ---  199 6 --- }
3C05: 0025 { 1AA 6 ---  1BA 6 ---  1AB 6 ---  1BB 6 --- }
3C06: 0025 { 0F8 5 ---  185 5 ---  0F8 5 ---  186 5 --- }
3C07: 0130 { 1F8 5 ---  1F9 5 ---  1FA 5 ---  1FB 5 --- }
3C08: 0130 { 1FA 5 ---  1FC 5 ---  1FA 5 ---  1FC 5 --- }
3C09: 0130 { 1FA 5 ---  1FB 5 ---  1F8 5 x--  1F9 5 x-- }
3C0A: 0025 { 0F8 5 ---  1CE 5 ---  0F8 5 ---  1CE 5 --- }
3C0B: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C0C: 0025 { 1E6 6 ---  199 6 ---  1E7 6 ---  199 6 --- }
3C0D: 0025 { 1E6 6 ---  199 6 ---  1E7 6 ---  199 6 --- }
3C0E: 0025 { 1E6 6 ---  199 6 ---  1E7 6 ---  199 6 --- }
3C0F: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C10: 0130 { 18E 1 ---  19E 1 ---  18F 1 ---  19F 1 --- }
3C11: 0130 { 18B 1 ---  19B 1 ---  18C 1 ---  19C 1 --- }
3C12: 011F { 187 6 ---  197 6 ---  188 6 ---  198 6 --- }
3C13: 0124 { 187 6 ---  197 6 ---  188 6 ---  198 6 --- }
3C14: 0121 { 187 6 ---  197 6 ---  188 6 ---  198 6 --- }
3C15: 0025 { 0F8 5 ---  0F8 5 ---  1ED 5 ---  0F8 5 --- }
3C16: 0025 { 1EE 5 ---  1ED 5 ---  195 5 x--  195 5 x-- }
3C17: 0130 { 1A6 6 ---  1B6 6 ---  1A7 6 ---  1B7 6 --- }
3C18: 0025 { 1FF 6 ---  1FF 6 ---  1FF 6 ---  1FF 6 --- }
3C19: 0130 { 1D6 6 -y-  1C6 6 -y-  1D7 6 -y-  1C7 6 -y- }
3C1A: 0130 { 1DE 6 ---  0F8 6 ---  1DE 6 ---  0F8 6 --- }
3C1B: 0130 { 1FD 6 ---  1FD 6 -y-  1FD 6 x--  1FD 6 xy- }
3C1C: 0025 { 199 6 ---  199 6 ---  0FA 6 ---  0FA 6 --- }
3C1D: 0025 { 199 6 ---  199 6 ---  199 6 ---  199 6 --- }
3C1E: 0025 { 0FA 6 ---  0FA 6 ---  199 6 ---  199 6 --- }
3C1F: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C20: 002B { 1A8 6 ---  1B8 6 ---  1A9 6 ---  1B9 6 --- }
3C21: 0130 { 18D 7 ---  19D 7 ---  18D 7 x--  19D 7 x-- }
3C22: 0025 { 0F8 0 ---  1F0 0 ---  1F1 0 ---  0F9 0 --- }
3C23: 0025 { 1F2 0 ---  0F9 0 ---  1F1 0 ---  0F9 0 --- }
3C24: 0025 { 1F2 0 ---  0F9 0 ---  0F8 0 ---  1F3 0 --- }
3C25: 0130 { 1AE 5 ---  1BE 5 ---  1AF 5 ---  1BF 5 --- }
3C26: 0025 { 195 5 ---  195 5 ---  195 5 x--  195 5 x-- }
3C27: 0130 { 1C6 6 ---  1D6 6 ---  1C7 6 ---  1D7 6 --- }
3C28: 0006 { 1B5 5 ---  1FE 5 ---  1FE 5 x--  1B5 5 x-- }
3C29: 0130 { 1B6 6 -y-  1A6 6 -y-  1B7 6 -y-  1A7 6 -y- }
3C2A: 0130 { 1CF 3 ---  1DF 3 ---  1CF 3 ---  1DF 3 --- }
3C2B: 0025 { 1E6 6 ---  199 6 ---  1E7 6 ---  199 6 --- }
3C2C: 0025 { 1E4 6 ---  199 6 ---  1E5 6 ---  199 6 --- }
3C2D: 0025 { 1E4 6 ---  199 6 ---  1E5 6 ---  199 6 --- }
3C2E: 0025 { 1E4 6 --p  199 6 --p  1E5 6 --p  199 6 --p }
3C2F: 0025 { 1E6 6 --p  199 6 --p  1E7 6 --p  199 6 --p }
3C30: 0025 { 1A4 5 ---  1B4 5 ---  1A5 5 ---  1B4 5 x-- }
3C31: 0025 { 1A4 5 ---  1C4 5 ---  1A5 5 ---  1C5 5 --- }
3C32: 0025 { 0F8 7 ---  1F0 7 ---  1F1 7 ---  0F9 7 --- }
3C33: 0025 { 1F2 7 ---  0F9 7 ---  1F1 7 ---  0F9 7 --- }
3C34: 0025 { 1F2 7 ---  0F9 7 ---  0F8 7 ---  1F3 7 --- }
3C35: 0000 { 184 7 ---  0FD 7 ---  184 7 ---  0FD 7 --- }
3C36: 0130 { 1AC 7 ---  1BC 7 ---  1AD 7 ---  1BD 7 --- }
3C37: 0130 { 18A 3 ---  19A 3 ---  18A 3 ---  19A 3 --- }
3C38: 0130 { 1C8 2 ---  1D8 2 ---  1C9 2 ---  1D9 2 --- }
3C39: 0130 { 1CA 2 ---  1DA 2 ---  1CB 2 ---  1DB 2 --- }
3C3A: 0130 { 1CC 2 ---  1DC 2 ---  1CD 2 ---  1DD 2 --- }
3C3B: 0025 { 199 6 ---  199 6 ---  199 6 ---  199 6 --- }
3C3C: 0025 { 199 6 ---  199 6 ---  199 6 ---  199 6 --- }
3C3D: 0025 { 1E8 6 ---  0FA 6 ---  1E9 6 ---  0FA 6 --- }
3C3E: 0025 { 199 6 --p  199 6 --p  199 6 --p  199 6 --p }
3C3F: 0025 { 199 6 --p  199 6 --p  199 6 --p  199 6 --p }
3C40: 0025 { 1B4 5 ---  1C4 5 ---  1B4 5 x--  1C5 5 --- }
3C41: 0025 { 1D4 6 ---  1D4 6 ---  1D5 6 ---  1D5 6 --- }
3C42: 0025 { 1F4 7 ---  0F8 7 ---  1F5 7 ---  0F8 7 --- }
3C43: 0025 { 1F6 7 ---  0F8 7 ---  1F5 7 ---  0F8 7 --- }
3C44: 0025 { 1F6 7 ---  0F8 7 ---  1F7 7 ---  0F8 7 --- }
3C45: 0002 { 0FD 7 ---  0FD 7 ---  0FD 7 ---  0FD 7 --- }
3C46: 0004 { 184 4 ---  0FD 4 ---  184 4 ---  0FD 4 --- }
3C47: 0005 { 0FD 4 --p  0FD 4 --p  0FD 4 --p  0FD 4 --p }
3C48: 0130 { 1A6 1 ---  1B6 1 ---  1A7 1 ---  1B7 1 --- }
3C49: 0025 { 196 6 ---  194 6 ---  196 6 x--  194 6 x-- }
3C4A: 0025 { 0F8 4 ---  1EA 4 ---  1EA 4 ---  0F8 4 --- }
3C4B: 0025 { 199 6 ---  199 6 ---  199 6 ---  199 6 --- }
3C4C: 0025 { 199 6 ---  199 6 ---  199 6 ---  199 6 --- }
3C4D: 0025 { 0FA 6 ---  0FA 6 ---  0FA 6 ---  0FA 6 --- }
3C4E: 0025 { 199 6 --p  199 6 --p  199 6 --p  199 6 --p }
3C4F: 0130 { 199 6 --p  199 6 --p  199 6 --p  199 6 --p }
3C50: 0139 { 180 5 ---  190 5 ---  181 5 ---  191 5 --- }
3C51: 0139 { 182 5 ---  192 5 ---  183 5 ---  193 5 --- }
3C52: 0137 { 180 5 ---  190 5 ---  181 5 ---  191 5 --- }
3C53: 0138 { 182 5 ---  192 5 ---  183 5 ---  193 5 --- }
3C54: 011C { 199 1 ---  199 1 ---  199 1 ---  199 1 --- }
3C55: 0117 { 199 1 ---  199 1 ---  199 1 ---  199 1 --- }
3C56: 0119 { 199 1 ---  199 1 ---  199 1 ---  199 1 --- }
3C57: 0025 { 0F8 5 ---  1EC 5 ---  0F8 5 ---  1EC 5 x-- }
3C58: 0130 { 1C6 1 ---  1D6 1 ---  1C7 1 ---  1D7 1 --- }
3C59: 0025 { 194 6 ---  194 6 ---  194 6 x--  194 6 x-- }
3C5A: 0025 { 1E6 1 ---  199 1 ---  1E7 1 ---  199 1 --- }
3C5B: 0025 { 1E6 1 ---  199 1 ---  1E7 1 ---  199 1 --- }
3C5C: 0025 { 1E6 1 ---  199 1 ---  1E7 1 ---  199 1 --- }
3C5D: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C5E: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C5F: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C60: 0130 { 1A0 5 ---  1A0 5 ---  1A1 5 ---  1A1 5 --- }
3C61: 0130 { 1A2 5 ---  1A2 5 ---  1A3 5 ---  1A3 5 --- }
3C62: 0137 { 190 5 -y-  180 5 -y-  191 5 -y-  181 5 -y- }
3C63: 0138 { 192 5 -y-  182 5 -y-  193 5 -y-  183 5 -y- }
3C64: 0130 { 189 6 ---  199 6 ---  189 6 ---  199 6 --- }
3C65: 0130 { 199 1 ---  199 1 ---  199 1 ---  199 1 --- }
3C66: 0025 { 0F8 5 ---  1EB 5 ---  1EB 5 ---  0FC 5 --- }
3C67: 0025 { 0FC 5 ---  0FC 5 ---  1EF 5 ---  0FC 5 --- }
3C68: 0025 { 1EB 5 x--  0FC 5 x--  0F8 5 x--  1EB 5 x-- }
3C69: 0025 { 1FF 1 ---  1FF 1 ---  1FF 1 ---  1FF 1 --- }
3C6A: 0025 { 199 1 ---  199 1 ---  0FA 1 ---  0FA 1 --- }
3C6B: 0025 { 199 1 ---  199 1 ---  199 1 ---  199 1 --- }
3C6C: 0025 { 0FA 1 x--  0FA 1 x--  199 1 x--  199 1 x-- }
3C6D: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C6E: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C6F: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C70: 0130 { 190 5 -y-  180 5 -y-  191 5 -y-  181 5 -y- }
3C71: 0130 { 192 5 -y-  182 5 -y-  193 5 -y-  183 5 -y- }
3C72: 013F { 1D0 5 ---  1E0 5 ---  1D1 5 ---  1E1 5 --- }
3C73: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
