5500: 0106 { 280 2 ---  290 2 ---  281 2 ---  291 2 --- }
5501: 0130 { 282 2 ---  292 2 ---  283 2 ---  293 2 --- }
5502: 0130 { 282 2 ---  292 2 ---  283 2 ---  293 2 --- }
5503: 0130 { 283 2 x--  293 2 x--  282 2 x--  292 2 x-- }
5504: 0106 { 281 2 x--  291 2 x--  280 2 x--  290 2 x-- }
5505: 0130 { 2E5 2 ---  2E6 2 x--  284 2 x--  285 2 x-- }
5506: 0130 { 2C5 2 ---  2D5 2 ---  2C6 2 ---  2D6 2 --- }
5507: 0130 { 282 2 ---  292 2 ---  283 2 ---  293 2 --- }
5508: 0130 { 2C6 2 x--  2D6 2 x--  2C5 2 x--  2D5 2 x-- }
5509: 0130 { 2C0 2 ---  2D0 2 ---  2C1 2 ---  2D1 2 --- }
550A: 0130 { 2C2 2 ---  2D2 2 ---  2C3 2 ---  2D3 2 --- }
550B: 0130 { 2C3 2 x--  2D3 2 x--  2C2 2 x--  2D2 2 x-- }
550C: 0130 { 2C1 2 x--  2D1 2 x--  2C0 2 x--  2D0 2 x-- }
550D: 0025 { 0F8 2 x--  2B4 2 ---  0F8 2 x--  2B5 2 --- }
550E: 0025 { 0F8 2 ---  2B5 2 x--  0F8 2 ---  2B4 2 x-- }
550F: 0025 { 2B4 2 -y-  0F8 2 xy-  2B5 2 -y-  0F8 2 xy- }
5510: 0025 { 0F8 2 ---  0F8 2 ---  2A1 2 ---  2A2 2 --- }
5511: 0130 { 2E2 2 ---  2A0 2 ---  2E3 2 ---  2F3 2 --- }
5512: 0130 { 2E2 2 ---  2F2 2 ---  2E3 2 ---  2F3 2 --- }
5513: 0130 { 2E3 2 x--  2F3 2 x--  2E2 2 x--  2A0 2 x-- }
5514: 0025 { 2A1 2 x--  2A2 2 x--  0F8 2 x--  0F8 2 x-- }
5515: 0130 { 2E6 2 xy-  2E5 2 -y-  285 2 xy-  284 2 xy- }
5516: 0130 { 2B3 2 xy-  2B1 2 x--  2B2 2 xy-  2B0 2 x-- }
5517: 0130 { 2E2 2 ---  2F2 2 ---  2E3 2 ---  2F3 2 --- }
5518: 0130 { 2B2 2 -y-  2B0 2 ---  2B3 2 -y-  2B1 2 --- }
5519: 0130 { 2E0 2 ---  2F0 2 ---  2E1 2 ---  2F1 2 --- }
551A: 0130 { 2E2 2 ---  2F2 2 ---  2E3 2 ---  2F3 2 --- }
551B: 0130 { 2E3 2 x--  2F3 2 x--  2E2 2 x--  2F2 2 x-- }
551C: 0130 { 2E1 2 x--  2F1 2 x--  2E0 2 x--  2F0 2 x-- }
551D: 0025 { 0F8 2 x--  0F8 2 x--  0F8 2 x--  2B5 2 --- }
551E: 0025 { 0F8 2 ---  2B5 2 x--  0F8 2 ---  0F8 2 x-- }
551F: 0025 { 2B4 2 -y-  0F8 2 xy-  0F8 2 xy-  0F8 2 xy- }
5520: 0025 { 294 2 ---  2A4 2 ---  295 2 ---  2A5 2 --- }
5521: 0130 { 284 2 ---  285 2 ---  2E6 2 ---  2E6 2 --- }
5522: 0130 { 2E4 2 ---  2E6 2 ---  2E5 2 ---  2E6 2 --- }
5523: 0130 { 2E6 2 x--  2E6 2 x--  284 2 x--  285 2 x-- }
5524: 0025 { 295 2 x--  2A5 2 x--  294 2 x--  2A4 2 x-- }
5525: 0130 { 2E6 2 x--  2E6 2 x--  2E6 2 x--  2E6 2 x-- }
5526: 0130 { 2B1 2 xy-  2B1 2 x--  2B0 2 xy-  2B0 2 x-- }
5527: 0130 { 2E4 2 ---  2E6 2 ---  2E5 2 ---  2E6 2 --- }
5528: 0130 { 2B0 2 -y-  2B0 2 ---  2B1 2 -y-  2B1 2 --- }
5529: 0130 { 2F0 2 -y-  2E0 2 -y-  2F1 2 -y-  2E1 2 -y- }
552A: 0130 { 2F2 2 -y-  2E2 2 -y-  2F3 2 -y-  2E3 2 -y- }
552B: 0130 { 2F3 2 xy-  2E3 2 xy-  2F2 2 xy-  2E2 2 xy- }
552C: 0130 { 2F1 2 xy-  2E1 2 xy-  2F0 2 xy-  2E0 2 xy- }
552D: 0025 { 0F8 2 x--  2B4 2 ---  0F8 2 x--  0F8 2 x-- }
552E: 0025 { 0F8 2 ---  0F8 2 ---  0F8 2 ---  2B4 2 x-- }
552F: 0025 { 0F8 2 xy-  0F8 2 xy-  2B5 2 -y-  0F8 2 xy- }
5530: 0025 { 296 2 ---  2A6 2 ---  297 2 ---  2A7 2 --- }
5531: 0130 { 286 2 ---  284 2 ---  2E6 2 ---  2E6 2 --- }
5532: 0130 { 284 2 ---  285 2 ---  2E4 2 ---  2E6 2 x-- }
5533: 0130 { 2E6 2 x--  2E6 2 x--  286 2 x--  284 2 x-- }
5534: 0025 { 297 2 x--  2A7 2 x--  296 2 x--  2A6 2 x-- }
5535: 0130 { 2E4 2 ---  2E4 2 -y-  2E5 2 ---  2E5 2 -y- }
5536: 0130 { 2B1 2 xy-  2B1 2 x--  2B0 2 xy-  2B0 2 x-- }
