6000: 0025 { 1F8 7 ---  1F8 7 ---  1F9 7 ---  1F9 7 --- }
6001: 0025 { 07F 3 ---  1E1 3 ---  07F 3 ---  07F 3 --- }
6002: 0025 { 07F 3 ---  07F 3 ---  07F 3 ---  07F 3 --- }
6003: 0025 { 228 6 ---  26F 6 ---  229 6 ---  27F 6 --- }
6004: 0025 { 238 6 ---  248 6 ---  239 6 ---  249 6 --- }
6005: 0025 { 26D 6 ---  07F 3 ---  26E 6 ---  07F 3 --- }
6006: 0025 { 07F 3 ---  27D 6 ---  07F 3 ---  27E 6 --- }
6007: 0025 { 07F 5 ---  1E4 5 ---  07F 5 ---  1E5 5 --- }
6008: 0106 { 2EF 3 ---  07F 3 ---  2EF 3 ---  07F 3 --- }
6009: 0025 { 1FA 7 ---  1FD 7 ---  1FB 7 ---  1FE 7 --- }
600A: 0025 { 1FC 7 ---  1FF 7 ---  1FC 7 ---  1FF 7 --- }
600B: 012F { 05E 6 -y-  05C 6 -y-  05F 6 -y-  05D 6 -y- }
600C: 0130 { 190 3 -y-  191 3 -y-  193 3 -y-  183 3 -y- }
600D: 0130 { 192 3 -y-  182 3 -y-  190 3 xy-  191 3 xy- }
600E: 0130 { 28C 3 ---  29C 3 ---  28D 3 ---  29D 3 --- }
600F: 016B { 060 6 ---  062 6 ---  061 6 ---  063 6 --- }
6010: 0025 { 07F 3 ---  07F 3 ---  1CC 3 ---  1DC 3 --- }
6011: 0025 { 1CD 3 ---  1DD 3 ---  1CE 3 ---  1DE 3 --- }
6012: 0025 { 1CF 3 ---  1DF 3 ---  1E0 3 ---  1F0 3 --- }
6013: 0025 { 07F 3 ---  1F1 3 ---  07F 3 ---  07F 3 --- }
6014: 0130 { 21B 6 --p  208 6 --p  21C 6 --p  209 6 --p }
6015: 0130 { 21D 6 --p  218 6 --p  21E 6 --p  219 6 --p }
6016: 0130 { 21B 6 --p  258 6 --p  21C 6 --p  259 6 --p }
6017: 0025 { 1EA 3 ---  1EA 3 ---  1EA 3 ---  1EA 3 --- }
6018: 0025 { 07F 3 x--  1EA 3 ---  1EA 3 ---  1EA 3 --- }
6019: 0025 { 1EA 3 ---  1EA 3 ---  07F 3 ---  1EA 3 --- }
601A: 0025 { 07F 3 ---  07F 3 ---  07F 3 ---  07F 3 --- }
