7100: 0025 { 08D 3 ---  08D 3 -y-  08D 3 x--  08D 3 xy- }
7101: 0025 { 09D 3 ---  09D 3 -y-  09D 3 x--  09D 3 xy- }
7102: 0025 { 0BB 2 ---  0F8 2 ---  0F8 2 ---  0F8 2 --- }
7103: 0025 { 0F8 3 ---  0F8 3 ---  0F8 3 ---  0F0 3 --- }
7104: 0025 { 0F7 2 ---  0F7 2 -y-  0F7 2 x--  0F7 2 xy- }
7105: 0025 { 0E7 2 ---  0E7 2 -y-  0E7 2 x--  0E7 2 xy- }
7106: 0025 { 0D7 2 ---  0D7 2 -y-  0D7 2 x--  0D7 2 xy- }
7107: 0025 { 0C7 2 ---  0C7 2 -y-  0C7 2 x--  0C7 2 xy- }
7108: 0025 { 0C8 2 ---  0D8 2 ---  0C9 2 ---  0D9 2 --- }
7109: 0025 { 0C9 2 x--  0D9 2 x--  0C8 2 x--  0D8 2 x-- }
710A: 0025 { 0D8 2 -y-  0C8 2 -y-  0D9 2 -y-  0C9 2 -y- }
710B: 0025 { 0D9 2 xy-  0C9 2 xy-  0D8 2 xy-  0C8 2 xy- }
710C: 012F { 08E 5 ---  09E 5 ---  08E 5 x--  09E 5 x-- }
710D: 012F { 09E 5 -y-  08E 5 -y-  09E 5 xy-  08E 5 xy- }
710E: 012F { 08F 5 ---  08F 5 -y-  09F 5 -y-  09F 5 --- }
710F: 012F { 09F 5 xy-  09F 5 x--  08F 5 x--  08F 5 xy- }
7110: 0130 { 192 2 ---  18D 2 -y-  18D 2 -y-  189 2 -y- }
7111: 0130 { 18D 2 xy-  189 2 xy-  193 2 ---  18D 2 xy- }
7112: 0130 { 192 2 ---  194 2 ---  193 2 ---  195 2 --- }
7113: 0025 { 19A 2 ---  189 2 ---  19A 2 ---  189 2 x-- }
7114: 0130 { 194 2 ---  192 2 ---  195 2 ---  193 2 --- }
7115: 0025 { 189 2 -y-  19A 2 -y-  19A 2 -y-  19A 2 -y- }
7116: 0025 { 19A 2 xy-  19A 2 xy-  189 2 xy-  19A 2 xy- }
7117: 0025 { 19A 2 ---  19A 2 ---  19A 2 ---  189 2 x-- }
7118: 0025 { 19A 2 ---  189 2 ---  19A 2 ---  19A 2 --- }
7119: 0025 { 189 2 -y-  19A 2 -y-  189 2 xy-  19A 2 -y- }
711A: 0025 { 0F8 5 ---  188 2 -y-  188 2 -y-  189 2 -y- }
711B: 0025 { 188 2 xy-  189 2 xy-  0F8 5 ---  188 2 xy- }
711C: 0025 { 0F8 5 xy-  188 2 -y-  0F8 5 xy-  188 2 xy- }
711D: 0025 { 0F8 5 ---  0F8 5 ---  2E9 2 ---  2F9 2 --- }
711E: 0025 { 2EA 2 ---  2FA 2 ---  0F8 5 ---  0F8 5 --- }
711F: 0130 { 182 2 x--  183 2 xy-  180 2 x--  180 2 xy- }
7120: 0130 { 2E1 3 ---  1FF 3 -y-  1AA 3 ---  089 3 --- }
7121: 0130 { 1BE 3 ---  08A 3 ---  2EB 3 ---  09A 3 --- }
7122: 0130 { 2E1 3 ---  2C7 3 ---  1AA 3 ---  096 3 --- }
7123: 0130 { 1BE 3 ---  08A 3 -y-  2EB 3 ---  09A 3 --- }
7124: 0130 { 2E1 3 ---  1FF 3 -y-  2EB 3 ---  09A 3 --- }
7125: 0130 { 08A 3 ---  099 3 ---  09A 3 ---  09A 3 --- }
7126: 0130 { 1FF 3 -y-  1FF 3 ---  089 3 ---  08A 3 -y- }
7127: 01AA { 0F8 5 ---  16C 2 ---  16C 2 ---  16D 2 --- }
7128: 01AF { 16C 2 x--  16D 2 x--  0F8 5 ---  16C 2 x-- }
7129: 0196 { 0F8 5 ---  16A 2 ---  0F8 5 ---  16B 2 --- }
712A: 019B { 16A 2 ---  17A 2 ---  16B 2 ---  17B 2 --- }
712B: 01A0 { 16B 2 x--  17B 2 x--  16A 2 x--  17A 2 x-- }
712C: 01A5 { 0F8 5 ---  16B 2 x--  0F8 5 ---  16A 2 x-- }
712D: 0025 { 1F6 2 ---  16E 2 ---  0F8 5 ---  16F 2 --- }
712E: 0025 { 0F8 5 ---  16F 2 x--  1F6 2 x--  16E 2 x-- }
712F: 014F { 186 2 ---  182 2 -y-  190 2 xy-  180 2 xy- }
7130: 0130 { 1FF 3 ---  2C7 3 ---  08A 3 -y-  096 3 --- }
7131: 0130 { 099 3 ---  096 3 x--  09A 3 ---  2FB 3 --- }
7132: 0130 { 2E1 3 ---  1FF 3 -y-  2EB 3 ---  09A 3 --- }
7133: 0130 { 1FF 3 ---  2C7 3 ---  09A 3 ---  2FB 3 --- }
7134: 0130 { 1FF 3 ---  2C7 3 ---  09A 3 ---  2FB 3 --- }
7135: 0130 { 08A 3 -y-  096 3 ---  099 3 ---  096 3 x-- }
7136: 0130 { 1AA 3 ---  089 3 ---  1BE 3 ---  08A 3 --- }
7137: 01E2 { 16D 2 ---  17D 2 ---  17D 2 ---  0F8 5 --- }
7138: 01E4 { 17D 2 x--  0F8 5 ---  16D 2 x--  17D 2 x-- }
7139: 01DE { 17A 2 ---  0F8 5 ---  17B 2 ---  0F8 5 --- }
713A: 01E6 { 0F8 5 ---  0F8 5 ---  0F8 5 ---  0F8 5 --- }
713B: 01E6 { 0F8 5 ---  0F8 5 ---  0F8 5 ---  0F8 5 --- }
713C: 01E0 { 17B 2 x--  0F8 5 ---  17A 2 x--  0F8 5 --- }
713D: 0145 { 180 2 ---  190 2 ---  183 2 ---  193 2 --- }
713E: 0100 { 182 2 ---  192 2 ---  183 2 ---  193 2 --- }
713F: 0148 { 182 2 ---  192 2 ---  180 2 x--  190 2 x-- }
7140: 0130 { 2E1 3 ---  2C7 3 ---  1AA 3 ---  096 3 --- }
7141: 0130 { 1BE 3 ---  096 3 x--  2EB 3 ---  2FB 3 --- }
7142: 0130 { 1FF 3 ---  2C7 3 ---  097 3 ---  096 3 --- }
7143: 0130 { 1BE 3 ---  096 3 x--  2EB 3 ---  2FB 3 --- }
7144: 0130 { 2E1 3 ---  2C7 3 ---  2EB 3 ---  2FB 3 --- }
7145: 0130 { 089 3 ---  08A 3 -y-  08A 3 ---  099 3 --- }
7146: 0130 { 099 3 x--  096 3 x--  08A 3 x--  096 3 --- }
7147: 01E2 { 17C 2 ---  0F8 5 ---  17D 2 ---  0F8 5 --- }
7148: 01E4 { 17D 2 x--  0F8 5 ---  17C 2 x--  0F8 5 --- }
7149: 0130 { 0F8 5 ---  0F8 5 ---  0F8 5 ---  0F8 5 --- }
714A: 01A5 { 0F8 5 ---  168 2 ---  0F8 5 ---  16B 2 --- }
714B: 01E0 { 0F8 5 ---  16B 2 x--  0F8 5 ---  168 2 x-- }
714C: 0130 { 19A 2 -y-  19A 2 -y-  19A 2 -y-  19F 2 --- }
714D: 014B { 184 2 ---  190 2 ---  195 2 ---  193 2 --- }
714E: 003F { 194 2 ---  192 2 ---  195 2 ---  193 2 --- }
714F: 014C { 194 2 ---  192 2 ---  184 2 x--  190 2 x-- }
7150: 0130 { 089 3 ---  08A 3 -y-  099 3 ---  097 3 -y- }
7151: 0130 { 099 3 x--  097 3 xy-  089 3 x--  08A 3 xy- }
7152: 0130 { 097 3 x--  096 3 x--  1FF 3 x--  2C7 3 x-- }
7153: 01AA { 0F8 5 ---  2B7 3 ---  2B6 3 ---  2C6 3 --- }
7154: 01AF { 2B6 3 x--  2C6 3 x--  0F8 5 x--  2B7 3 x-- }
7155: 01EC { 089 3 -y-  1A2 3 -y-  08A 3 -y-  1A3 3 -y- }
7156: 01ED { 08A 3 xy-  1A3 3 xy-  089 3 xy-  1A2 3 xy- }
7157: 0130 { 08A 3 x--  099 3 x--  089 3 x--  08A 3 xy- }
7158: 0106 { 1F2 2 ---  0F8 5 ---  1F2 2 x--  0F8 5 --- }
7159: 01DE { 168 2 ---  178 2 ---  16B 2 ---  17B 2 --- }
715A: 01E0 { 178 2 ---  0F8 5 ---  17B 2 ---  0F8 5 --- }
715B: 01A0 { 17B 2 x--  0F8 5 ---  178 2 x--  0F8 5 --- }
715C: 0025 { 16B 2 x--  17B 2 x--  168 2 x--  178 2 x-- }
715D: 014D { 190 2 -y-  180 2 -y-  193 2 -y-  183 2 -y- }
715E: 014E { 192 2 -y-  182 2 -y-  193 2 -y-  183 2 -y- }
715F: 014F { 192 2 -y-  182 2 -y-  190 2 xy-  180 2 xy- }
7160: 0130 { 089 3 ---  08A 3 -y-  097 3 ---  099 3 --- }
7161: 0130 { 097 3 x--  099 3 x--  089 3 x--  08A 3 xy- }
7162: 01E4 { 1A3 3 x--  096 3 ---  1A2 3 x--  096 3 x-- }
7163: 01E2 { 1A2 3 ---  089 3 ---  1A3 3 ---  08A 3 --- }
7164: 01E4 { 1A3 3 x--  08A 3 x--  1A2 3 x--  089 3 x-- }
7165: 01C4 { 2B7 3 -y-  0F8 5 -y-  2C6 3 -y-  2B6 3 -y- }
7166: 01C5 { 2C6 3 xy-  2B6 3 xy-  2B7 3 xy-  0F8 5 xy- }
7167: 0130 { 1BE 3 x--  08A 3 x--  1AA 3 x--  089 3 x-- }
7168: 0130 { 08A 3 ---  096 3 ---  099 3 ---  096 3 --- }
7169: 0100 { 1AA 3 ---  089 3 ---  1BE 3 ---  08A 3 --- }
716A: 0100 { 1BE 3 x--  08A 3 x--  1AA 3 x--  089 3 x-- }
716B: 0130 { 19A 2 ---  19A 2 ---  19A 2 ---  19A 2 --- }
716C: 0130 { 18F 2 ---  19A 2 -y-  19A 2 -y-  19A 2 -y- }
716D: 0025 { 0F8 5 x--  0F8 5 x--  0F8 5 x--  0BF 3 x-- }
716E: 0025 { 0AB 3 x--  0BE 3 x--  0AA 3 x--  0BA 3 x-- }
716F: 0025 { 08C 3 x--  09C 3 x--  08B 3 x--  09B 3 x-- }
7170: 0130 { 2E1 3 ---  1FF 3 -y-  1AA 3 ---  089 3 --- }
7171: 0130 { 1AA 3 ---  089 3 ---  1BE 3 ---  08A 3 --- }
7172: 0130 { 1BE 3 ---  08A 3 ---  2EB 3 ---  09A 3 --- }
7173: 0025 { 139 3 --p  13B 3 --p  13A 3 --p  13C 3 --p }
7174: 0130 { 101 3 ---  105 3 ---  102 3 ---  106 3 --- }
7175: 0130 { 103 3 ---  107 3 ---  104 3 ---  1E0 3 --- }
7176: 0025 { 0CD 3 ---  0CD 3 ---  0CD 3 ---  0CD 3 --- }
7177: 0025 { 0F8 5 ---  0CD 3 ---  0CD 3 ---  0CD 3 --- }
7178: 0025 { 0CD 3 ---  0CD 3 ---  0F8 5 ---  0CD 3 --- }
7179: 0025 { 0CD 3 ---  0F8 5 ---  0F8 5 ---  0CD 3 --- }
717A: 0025 { 0F8 5 ---  0CD 3 ---  0CD 3 ---  0F8 5 --- }
717B: 0025 { 19A 2 -y-  19A 2 -y-  19A 2 -y-  19F 2 --- }
717C: 0130 { 194 2 ---  192 2 ---  195 2 ---  193 2 --- }
717D: 0025 { 0F8 5 x--  0E9 3 x--  0B5 3 x--  0E8 3 x-- }
717E: 0025 { 095 3 x--  0E4 3 x--  088 3 x--  0D4 3 x-- }
717F: 0025 { 087 3 x--  0D3 3 x--  086 3 x--  0C4 3 x-- }
7180: 0130 { 164 3 --p  174 3 --p  165 3 --p  175 3 --p }
7181: 0130 { 166 3 --p  176 3 --p  167 3 --p  177 3 --p }
7182: 0130 { 165 3 x-p  175 3 x-p  164 3 x-p  174 3 x-p }
7183: 0025 { 13B 3 -yp  139 3 -yp  13C 3 -yp  13A 3 -yp }
7184: 0130 { 1E1 3 ---  20D 3 ---  1D2 3 ---  21D 3 --- }
7185: 0130 { 254 3 ---  24B 3 ---  1E0 3 ---  25B 3 --- }
7186: 0025 { 0CD 3 ---  0F8 5 ---  0CD 3 ---  0CD 3 --- }
7187: 0025 { 0CD 3 ---  0CD 3 ---  0CD 3 ---  0F8 5 --- }
7188: 0025 { 0F8 5 ---  0CD 3 ---  0F8 5 ---  0F8 5 --- }
7189: 0025 { 0F8 5 ---  0F8 5 ---  0F8 5 ---  0CD 3 --- }
718A: 0025 { 0F8 5 ---  0F8 5 ---  0CD 3 ---  0F8 5 --- }
718B: 0025 { 0CD 3 ---  0F8 5 ---  0F8 5 ---  0F8 5 --- }
718C: 0025 { 18F 2 ---  19A 2 -y-  19A 2 -y-  19A 2 -y- }
718D: 0025 { 1AE 2 ---  1AE 2 ---  1AE 2 ---  1AE 2 --- }
718E: 0025 { 1AE 2 ---  19A 2 -y-  1AE 2 ---  19A 2 -y- }
718F: 0025 { 0F8 5 ---  0B0 5 ---  0F8 5 ---  0B1 5 --- }
7190: 0025 { 170 3 --p  173 3 --p  171 3 --p  173 3 x-p }
7191: 0025 { 172 3 --p  0F8 5 --p  172 3 x-p  0F8 5 --p }
7192: 0025 { 171 3 x-p  173 3 --p  170 3 x-p  173 3 x-p }
7193: 0130 { 2E1 3 ---  1FF 3 ---  1BE 3 ---  099 3 --- }
7194: 0130 { 1BE 3 ---  096 3 x--  2EB 3 ---  2FB 3 --- }
7195: 01EC { 089 3 ---  1A2 3 -y-  097 3 ---  099 3 --- }
7196: 0130 { 2EB 3 x--  09A 3 x--  2E1 3 x--  1FF 3 xy- }
7197: 01ED { 1AA 3 ---  1A3 3 xy-  1BE 3 ---  1A2 3 xy- }
7198: 01F0 { 00C 3 -y-  0F8 3 xy-  00C 3 xy-  0F8 3 xy- }
7199: 0025 { 262 3 ---  274 3 ---  263 3 ---  275 3 --- }
719A: 0025 { 264 3 ---  252 3 ---  265 3 ---  253 3 --- }
719B: 0130 { 192 2 ---  182 2 -y-  186 2 x--  183 2 -y- }
719C: 0130 { 186 2 ---  182 2 -y-  193 2 ---  183 2 -y- }
719D: 0130 { 186 2 ---  182 2 -y-  190 2 x--  180 2 xy- }
719E: 0130 { 184 2 ---  190 2 ---  184 2 x--  190 2 x-- }
719F: 0025 { 0C0 5 ---  0D0 5 ---  0C1 5 ---  0D1 5 --- }
71A0: 0130 { 104 3 x--  1E0 3 x--  103 3 x--  107 3 x-- }
71A1: 0130 { 102 3 x--  106 3 x--  101 3 x--  105 3 x-- }
71A2: 0025 { 13A 3 x-p  13C 3 x-p  139 3 x-p  13B 3 x-p }
71A3: 0130 { 1FF 3 ---  2C7 3 ---  09A 3 ---  2FB 3 --- }
71A4: 0130 { 1AA 3 ---  096 3 ---  1BE 3 ---  096 3 --- }
71A5: 0130 { 2EB 3 x--  2FB 3 x--  1BE 3 x--  096 3 --- }
71A6: 0130 { 097 3 x--  096 3 x--  1FF 3 x--  2C7 3 x-- }
71A7: 019B { 0F8 5 ---  16A 2 ---  0F8 5 ---  169 2 --- }
71A8: 01A0 { 16A 2 ---  17A 2 ---  169 2 ---  179 2 --- }
71A9: 01A5 { 169 2 x--  179 2 x--  16A 2 x--  17A 2 x-- }
71AA: 0130 { 0F8 5 ---  169 2 x--  0F8 5 ---  16A 2 x-- }
71AB: 0130 { 184 2 ---  190 2 ---  193 2 ---  186 2 xy- }
71AC: 014E { 192 2 -y-  182 2 -y-  190 2 x--  180 2 xy- }
71AD: 014E { 186 2 ---  182 2 -y-  190 2 x--  180 2 xy- }
71AE: 0100 { 182 2 ---  192 2 ---  183 2 ---  186 2 xy- }
71AF: 0025 { 2B8 5 ---  2C8 5 ---  2B9 5 ---  2C9 5 --- }
71B0: 0130 { 1E0 3 x--  25B 3 x--  254 3 x--  24B 3 x-- }
71B1: 0130 { 1D2 3 x--  21D 3 x--  1E1 3 x--  20D 3 x-- }
71B2: 0025 { 13C 3 xyp  13A 3 xyp  13B 3 xyp  139 3 xyp }
71B3: 01EC { 1AA 3 ---  1A2 3 -y-  1BE 3 ---  1A3 3 -y- }
71B4: 0025 { 0F8 5 ---  0F8 5 ---  1A1 2 x--  1B1 2 x-- }
71B5: 0025 { 1A1 2 ---  1B1 2 ---  0F8 5 ---  0F8 5 --- }
71B6: 01EC { 089 3 -y-  1A2 3 -y-  09A 3 ---  09A 3 --- }
71B7: 0130 { 17A 2 ---  0F8 5 ---  179 2 ---  0F8 5 --- }
